product,price,rating,reviews,brand
Samsung Galaxy A30s 128GB Zwart,219.0,4.5,35,Samsung
Apple iPhone 12 256GB Blauw,1079.0,4.5,146,Apple
Apple iPhone 11 64 GB Geel,685.0,4.5,1023,Apple
OnePlus 8T 128GB Groen 5G,599.0,4.5,84,OnePlus
Apple iPhone 12 64GB RED,909.0,4.5,146,Apple
Xiaomi Poco X3 64GB Blauw,225.0,4.5,77,Xiaomi
OPPO Reno4 Z 128GB Zwart 5G,385.0,4.5,13,OPPO
Apple iPhone Xr 64 GB Wit,579.0,4.5,725,Apple
Samsung Galaxy S20 FE 256GB Groen 4G,669.0,4.5,38,Samsung
Motorola Moto G 5G Plus 64GB Blauw,243.0,4.5,10,Motorola
Xiaomi Mi 10T Pro 256GB Zilver 5G,637.0,4.5,16,Xiaomi
OnePlus 8 Pro 256GB Blauw 5G,799.0,4.5,108,OnePlus
Samsung Galaxy S20 FE 256GB Blauw 4G,669.0,4.5,38,Samsung
Nokia 8.3 128GB Blauw 5G,574.0,4.0,5,Nokia
Samsung Galaxy A21s 32GB Blauw,174.0,4.5,98,Samsung
Apple iPhone SE 256 GB Zwart,653.0,4.5,754,Apple
Huawei P Smart (2020) 128GB Blauw,199.0,4.5,13,Huawei
Fysic FM-7500 Senioren Telefoon,45.99,4.5,644,Fysic
Huawei P30 Zwart,494.0,4.5,38,Huawei
Nokia 5.3 64GB Zwart,198.99,4.5,46,Nokia
Apple iPhone 12 64GB Groen,909.0,4.5,146,Apple
Apple iPhone 11 128 GB Paars,735.0,4.5,1023,Apple
OnePlus Nord 128GB Blauw 5G,399.0,4.5,720,OnePlus
OPPO Reno4 Pro 256GB Zwart 5G,761.0,4.5,7,OPPO
Motorola Moto G9 Play 64GB Blauw,168.99,4.5,16,Motorola
Cat S62 Pro 128GB,609.0,4.0,3,Cat
OPPO A91 128GB Blauw,273.0,4.5,34,OPPO
Apple iPhone 11 256 GB Groen,866.0,4.5,1023,Apple
Xiaomi Mi 10T Lite 128GB Blauw 5G,327.0,4.5,13,Xiaomi
Samsung Galaxy M11 32GB Zwart,159.0,5.0,3,Samsung
Nokia 8.3 64GB Blauw 5G,514.0,4.0,5,Nokia
Motorola Moto E6 Play Zwart,99.0,4.0,15,Motorola
Apple iPhone 12 mini 64GB RED,809.0,4.5,98,Apple
Xiaomi Mi 10T Pro 128GB Zwart 5G,579.0,4.5,16,Xiaomi
Samsung Galaxy A42 128GB Grijs 5G,329.0,4.5,6,Samsung
Apple iPhone 11 64 GB Paars,685.0,4.5,1023,Apple
OPPO A53s 128GB Zwart,191.0,4.5,3,OPPO
Nokia 2.4 32 GB Blauw,123.99,4.0,8,Nokia
Huawei P Smart (2020) 128GB Zwart,199.0,4.5,13,Huawei
Xiaomi Redmi Note 9 Pro 128GB Grijs,268.0,4.5,73,Xiaomi
Apple iPhone 12 Pro Max 256GB Pacific Blue,1379.0,4.5,112,Apple
Samsung Galaxy S20 Ultra 128GB Grijs 5G,1109.0,4.5,83,Samsung
